N,P,K,temperature,humidity,ph,rainfall,label
31,40,22,29.40889385,86.16063492,6.365513634,53.35486977,mungbean
130,59,19,25.07278712,82.50257909,6.520403794,93.51042684,cotton
0,55,25,28.17489437,43.6672299,4.524171562,45.78172762,mothbeans
4,47,20,25.97948991,64.95585424,4.193189124,72.19245835,mothbeans
40,30,35,20.89273273,91.07776977,6.269663963,104.4407083,pomegranate
29,16,36,19.81069447,88.92944254,5.740338002,102.860084,pomegranate
22,26,38,22.92052307,85.12912161,6.988035315,110.2437841,pomegranate
85,37,39,24.52783742,82.73685569,6.364134968,224.6757231,rice
99,6,46,28.61475136,94.22253035,6.39637861,28.98574189,muskmelon
14,18,30,29.80747243,52.13797867,5.191265116,95.74606104,mango
126,46,25,24.43847399,81.69801729,6.757457943,60.79645852,cotton
90,48,45,24.06475727,71.31342851,6.509174789,153.6390212,jute
17,52,17,27.88352946,86.45147631,6.364967184,44.64407105,mungbean
40,72,77,17.02498456,16.98861173,7.485996067,88.55123143,chickpea
6,7,7,27.68167318,94.47316879,7.199106204,113.9995146,orange
23,35,18,26.4908332,47.36534833,5.414492777,36.99362831,mothbeans
27,21,30,35.3915464,52.48823147,5.061081874,91.22881052,mango
5,59,15,18.87492997,20.18238348,5.97229163,134.1811718,kidneybeans
100,10,53,24.54356968,84.60808277,6.211748957,42.00660251,watermelon
30,75,25,30.33276599,42.35249879,6.446091759,149.299952,pigeonpeas
7,28,35,30.02086169,46.78393776,4.66910839,96.63721027,mango
49,68,22,28.56840626,61.53278622,7.127064207,63.49726331,blackgram
39,71,84,20.28155898,16.39535215,8.140825437,82.52339655,chickpea
49,55,78,18.65580107,16.17772668,7.863113671,81.70769297,chickpea
89,9,47,29.47156259,90.77069618,6.668382766,28.75226067,muskmelon
126,46,25,24.43847399,81.69801729,6.757457943,60.79645852,cotton
29,68,23,24.1638445,19.27907819,5.82738029,116.7324324,kidneybeans
90,23,54,28.55852465,90.45773041,6.159020864,27.26588346,muskmelon
29,35,28,28.3471611,53.53903102,6.967417766,90.40260445,mango
24,70,16,25.17885316,68.93307305,6.54803469,35.03484812,lentil
120,20,34,23.56960509,50.56339727,6.906124587,130.3797119,coffee
1,67,21,27.52135365,60.53657684,6.551577598,48.06491307,lentil
13,30,37,20.86474944,91.61793636,6.277148771,106.8685636,pomegranate
26,50,19,27.3179125,51.66921088,6.005242945,32.55919573,mothbeans
89,45,36,21.32504158,80.47476396,6.442475375,185.4974732,rice
85,35,32,26.24928198,54.28617819,6.854011265,133.1120232,coffee
30,122,197,21.37784654,92.72043743,5.573241391,106.1417017,apple
31,26,9,11.69894639,93.25638873,7.566165721,103.2005992,orange
22,11,29,28.03380598,95.01630593,5.955742971,218.0055713,coconut
40,126,201,11.36300891,80.03100049,6.116982944,71.18289431,grapes
38,61,52,31.22790131,94.94021378,6.620729882,46.44279118,papaya
14,67,25,25.28710601,60.85993533,7.241151936,49.37369982,lentil
85,53,38,24.90075709,73.84186449,6.588017308,153.8990984,jute
28,37,28,32.13409675,50.52559148,6.097869767,98.63333684,mango
7,40,17,31.2123945,40.92604945,8.532078733,53.78769958,mothbeans
21,38,21,29.75538903,86.45193297,6.637677489,37.54602719,mungbean
2,47,15,29.86860065,85.99127934,6.401455706,58.41394143,mungbean
22,60,24,18.78226261,20.24768314,5.630664753,104.2570723,kidneybeans
81,45,35,26.52872817,80.12267476,6.158376967,218.9163567,rice
64,35,23,23.02038334,61.89472002,5.680361038,63.03843397,maize
15,123,204,22.52709326,92.54780429,6.365972688,115.3830068,apple
20,68,17,30.11873003,60.11680815,6.578714843,71.72980375,blackgram
21,80,20,28.20667264,68.27085245,7.350869792,64.32887142,blackgram
2,38,33,32.38697531,53.2328243,4.691396195,90.21633216,mango
31,13,33,27.63834933,95.48763389,5.85971872,205.5463111,coconut
20,79,77,18.54988627,16.02542689,7.64867466,76.32565249,chickpea
31,51,25,27.53592929,85.5701901,7.196774236,53.01899249,mungbean
81,56,36,23.39605743,72.60512854,7.097586415,174.7876411,jute
37,24,13,19.14381903,90.71037456,7.8546243,108.0230792,orange
1,135,203,22.77856513,92.70124029,5.624203283,113.7759219,apple
11,71,17,19.9191786,21.47324158,5.74644777,82.68554379,kidneybeans
20,30,27,27.81005614,51.59445462,4.74910393,95.89898581,mango
87,14,48,29.69238699,92.58862544,6.606033244,29.1102594,muskmelon
60,46,53,24.48620746,92.98254537,6.761953186,183.49095,papaya
7,28,35,30.02086169,46.78393776,4.66910839,96.63721027,mango
14,74,15,27.99990346,65.57653373,6.493036868,49.94043064,lentil
117,32,34,26.2724184,52.12739421,6.758792552,127.1752928,coffee
36,19,32,27.10710832,50.70880979,4.94295037,92.37238878,mango
31,37,21,27.23924995,86.404241,6.713410626,37.31236904,mungbean
119,30,28,26.35770906,64.57578034,6.505203696,163.6269496,coffee
26,24,34,31.27180992,52.23810152,6.811291098,89.74409017,mango
116,25,50,29.26092798,92.92367701,6.088885814,28.70627683,muskmelon
27,10,33,27.81132822,97.48410555,6.465906333,154.0621221,coconut
58,75,25,25.25596239,61.36669662,7.261791753,68.64685069,blackgram
70,68,45,33.83508569,92.85470152,6.991626158,203.4044028,papaya
38,72,21,28.23416057,49.4421345,5.902103172,186.5008581,pigeonpeas
67,60,25,24.92162194,66.78627406,5.750254943,109.2162279,maize
94,54,17,23.39128187,61.74427165,5.871647806,107.3198135,maize
31,20,30,32.17752026,54.01352682,6.207495815,91.88766069,mango
43,50,48,28.28222883,91.37059792,6.63016515,179.2720807,papaya
61,59,17,23.33844615,59.24580604,6.47444292,105.0083144,maize
33,23,45,20.00218987,85.83618191,7.116538883,112.337046,pomegranate
49,71,76,19.71098332,17.63879418,6.613072145,85.57925437,chickpea
10,79,18,21.0643684,55.46985938,5.624731338,184.6226709,pigeonpeas
115,17,55,27.57826922,94.11878202,6.776533055,28.08253201,muskmelon
120,16,51,27.99901833,91.64193051,6.547041903,23.28618248,muskmelon
24,55,78,17.30287885,15.15405941,6.64919573,75.57790384,chickpea
60,58,37,26.13871511,79.1188943,6.067302109,171.4892533,jute
20,27,41,20.51343484,92.51675903,5.700088663,110.5764023,pomegranate
22,54,20,28.56149805,83.63802195,6.689825155,41.013132,mungbean
55,66,22,30.91219459,68.79427388,7.747775263,66.63830637,blackgram
106,85,53,27.1994597,78.8086068,5.91505509,99.72430835,banana
30,75,25,30.33276599,42.35249879,6.446091759,149.299952,pigeonpeas
35,66,47,31.7018373,91.66232213,6.953439161,48.83810592,papaya
69,57,35,24.30748599,78.54340987,6.186814392,186.2337571,jute
90,50,44,26.91643698,73.48655995,6.253408852,171.4716375,jute
3,136,205,17.5862944,80.84806564,6.334771461,71.4065452,grapes
74,43,23,25.95263264,61.89082199,6.325235159,99.57981207,maize
69,66,49,40.00439101,90.17015833,6.52711001,92.11877372,papaya
41,78,21,25.19857725,60.37332688,6.581313137,70.88787207,blackgram
107,71,55,29.42017919,83.96754496,6.088064451,117.229079,banana
27,73,79,19.16288268,15.83500655,7.354973451,82.69766829,chickpea
11,36,33,35.99009679,52.22780489,5.978634285,95.3713484,mango
27,80,24,28.42062847,61.77336343,7.815210661,49.02366803,lentil
6,142,202,27.23708304,82.94573346,6.224542938,70.42508897,grapes
22,70,19,18.23775702,21.07643273,5.515615023,69.44951585,kidneybeans
13,57,25,28.30041493,86.20681554,6.86308576,50.47333854,mungbean
69,55,38,22.70883798,82.63941394,5.70080568,271.3248604,rice
26,15,6,17.22034507,94.78797376,6.912033409,108.0054343,orange
27,22,29,28.83214859,92.17170353,6.000248647,145.4172387,coconut
90,23,54,28.55852465,90.45773041,6.159020864,27.26588346,muskmelon
107,36,21,25.29250148,75.66653335,6.205263534,62.64174227,cotton
37,23,28,25.61294367,94.3138837,5.740054567,224.3206759,coconut
33,77,15,23.89736406,66.32102048,7.802212437,40.74536757,lentil
97,36,45,22.2286982,81.85872947,6.939083505,278.0791793,rice
5,56,24,24.80710166,45.01110015,5.023115055,188.4928637,pigeonpeas
61,64,52,43.30204933,92.83405443,6.641098708,110.562229,papaya
33,134,205,21.0365275,94.33919546,6.08551916,114.7412734,apple
15,140,195,13.28504331,83.54193816,5.69945282,65.80006004,grapes
37,72,18,18.87614998,24.54038287,5.724242065,105.4120514,kidneybeans
31,137,196,22.14464104,93.82567435,6.400321212,120.6310784,apple
24,27,9,18.86883219,93.24688124,6.157135092,119.3936976,orange
14,23,25,26.18552389,96.96637916,5.612122797,135.4186222,coconut
6,125,204,27.92004934,82.93262435,5.733539807,69.92092839,grapes
19,39,17,29.2808618,81.8009244,6.890156495,44.47427436,mungbean
71,52,18,25.10787449,55.97732754,5.790770203,78.16077693,maize
22,67,22,29.03017561,64.49166566,7.475926645,54.9393771,lentil
96,13,55,29.5275305,94.57459443,6.700337732,21.13545688,muskmelon
49,55,78,18.65580107,16.17772668,7.863113671,81.70769297,chickpea
37,74,15,24.92360104,18.22590825,5.582178402,62.7089169,kidneybeans
23,21,26,26.45488737,93.45042636,5.901495544,149.2220255,coconut
40,62,19,27.32198928,34.13737127,4.697750704,96.51524028,pigeonpeas
83,22,54,25.89762315,81.96664832,6.277245254,54.49960057,watermelon
11,14,5,11.50322938,94.8933184,6.946354724,115.5683776,orange
8,37,33,28.07802689,54.9640534,6.128167757,97.45373619,mango
7,60,25,28.2753171,82.76020821,6.397636709,56.04995423,mungbean
26,67,16,29.10713092,67.90577375,7.17620823,67.83345933,blackgram
19,7,9,27.255435,91.71369387,6.969883483,101.139435,orange
91,55,15,18.09300227,72.61024172,6.376651091,78.96159541,maize
31,51,25,27.53592929,85.5701901,7.196774236,53.01899249,mungbean
74,54,38,25.65553461,83.47021081,7.120272972,217.3788583,rice
31,130,198,21.80129837,92.73446667,5.554823557,120.0586671,apple
114,30,51,29.24908541,90.06998135,6.069171847,25.93496537,muskmelon
34,75,24,23.50222822,51.29019509,4.760038039,192.3023991,pigeonpeas
28,123,198,23.46260321,91.45665004,5.682751473,111.7763395,apple
108,38,24,23.41022496,76.43836957,7.442217061,78.82199603,cotton
12,27,26,29.09382275,45.5661059,5.32307197,96.23520043,mango
43,79,79,19.40751744,18.98030507,7.806747656,80.25064637,chickpea
120,24,47,26.98603693,89.4138489,6.260838965,58.54876687,watermelon
86,40,39,25.72100868,88.16513579,6.207459637,175.6086697,jute
60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,rice
4,13,6,15.63211033,94.25966183,7.561143224,101.4705704,orange
98,43,35,25.40785911,76.44048625,7.319952206,188.6372826,jute
49,61,45,32.76795887,94.57377401,6.764213299,240.4795923,papaya
82,48,36,25.79351957,81.76904006,6.352076783,193.2418382,jute
83,23,55,26.89750174,83.89241484,6.463271076,43.97193745,watermelon
78,50,43,25.12417673,85.72530641,6.348441469,159.5718087,jute
30,127,204,22.50050273,92.45878335,6.126436584,100.9343903,apple
113,15,29,27.09617155,63.55324262,6.779230041,190.2440566,coffee
81,25,49,29.86895762,93.25103208,6.076459669,26.26243014,muskmelon
0,18,14,29.77149434,92.00719952,7.207991261,114.4161786,orange
0,67,22,29.82112112,69.4073209,6.593798387,51.56461082,lentil
74,43,23,25.95263264,61.89082199,6.325235159,99.57981207,maize
39,70,52,26.26559543,90.79668055,6.65149129,59.49373381,papaya
23,142,197,39.06555518,82.03812973,6.000573725,69.30772897,grapes
50,59,47,40.76998685,92.09278584,6.747975732,209.8678411,papaya
63,42,21,23.26237612,72.33125523,5.798423908,67.10225139,maize
18,74,15,24.9035819,22.27512704,5.70836603,146.4727237,kidneybeans
95,39,29,27.35152643,55.99375012,7.13411409,148.9812525,coffee
4,61,21,24.84063998,60.09116626,6.75020529,48.77790371,lentil
14,121,203,9.724457611,83.74765639,6.158689406,74.46411148,grapes
53,73,77,19.71359733,18.09665739,7.325451279,73.64476535,chickpea
32,121,199,39.37102553,81.25353895,6.129812716,74.08101744,grapes
10,141,201,22.12659387,90.97818277,6.386021424,104.5412275,apple
96,46,22,20.58314011,69.00128641,6.499936446,66.29390357,maize
91,53,40,26.52723513,81.41753846,5.386167788,264.6148697,rice
102,37,25,25.31468463,77.91757121,5.907930899,72.82902109,cotton
25,121,201,30.50734778,82.71775569,5.594240603,70.08200379,grapes
106,14,45,24.47018505,84.16390229,6.417011754,57.26773002,watermelon
10,70,19,24.84918386,68.98088448,7.272427638,41.61080544,lentil
35,52,15,28.69841277,61.14754363,9.93509073,65.67591794,mothbeans
40,58,75,18.59190771,14.77959596,7.168096055,89.60982451,chickpea
76,44,17,20.41683147,62.5542482,5.855442401,65.27798457,maize
35,38,19,25.32688786,63.18180319,9.112771682,32.71129281,mothbeans
24,45,19,26.85851927,48.8246387,5.952384957,34.7426459,mothbeans
110,7,45,26.63838589,84.69546874,6.189213927,48.32428609,watermelon
78,35,44,26.54348085,84.67353597,7.072655622,183.6222657,rice
34,48,48,41.04224355,91.37258067,6.805277038,181.527598,papaya
58,73,16,33.36984395,65.67718163,6.874142175,64.89517488,blackgram
3,72,24,36.51268371,57.92887167,6.03160778,122.6539694,pigeonpeas
34,66,17,18.81097271,21.27833035,5.889614577,125.084915,kidneybeans
34,56,17,33.4126864,35.42910045,4.548202098,139.6702541,pigeonpeas
63,47,35,26.98582182,89.05587886,7.432768147,193.8778713,jute
3,56,17,28.19912143,53.50567601,8.709291688,52.13580529,mothbeans
25,63,20,15.78601387,21.14544088,5.502999119,95.17028129,kidneybeans
36,67,77,18.36952567,19.56381041,7.152811172,79.26357665,chickpea
28,23,28,30.01821337,50.0983181,5.676032581,96.08745082,mango
74,54,38,25.65553461,83.47021081,7.120272972,217.3788583,rice
111,15,54,27.7058373,92.91185695,6.194090172,22.06207161,muskmelon
18,125,204,22.35548159,94.47811755,6.046673619,116.7366261,apple
34,56,17,33.4126864,35.42910045,4.548202098,139.6702541,pigeonpeas
126,46,25,24.43847399,81.69801729,6.757457943,60.79645852,cotton
34,34,35,27.27433181,47.16808054,6.422710539,95.257992,mango
36,43,24,27.09400578,43.65305437,3.510404312,41.53749535,mothbeans
3,78,18,20.21368219,68.65257685,6.887130053,50.89732989,lentil
5,25,6,30.72119881,94.01331956,6.011302181,106.8118019,orange
22,23,44,20.13037175,89.31505137,6.143874691,107.3416913,pomegranate
102,25,50,28.20480805,92.91440379,6.099662369,20.36001144,muskmelon
29,142,203,29.67229086,83.71498986,5.891195653,66.48490371,grapes
109,36,18,25.40059227,76.53237965,7.524707577,62.5138867,cotton
39,36,22,29.34317422,60.50320928,9.072011412,34.03335472,mothbeans
7,21,35,25.76011662,94.65830608,5.764812076,131.2451414,coconut
72,40,38,20.41447029,82.20802629,7.592490617,245.1511304,rice
40,126,201,11.36300891,80.03100049,6.116982944,71.18289431,grapes
16,15,42,19.67832052,89.08935702,6.890784045,108.5468633,pomegranate
16,145,199,26.91624843,80.76838926,5.953966361,69.30927185,grapes
59,62,83,18.57665902,19.22008229,8.104396058,72.94940441,chickpea
108,22,46,26.17668721,86.7295205,6.121168559,53.33484977,watermelon
117,86,53,25.19640218,83.55829874,5.703381728,115.8586081,banana
16,14,30,29.70931288,96.30484325,6.37466756,209.8453993,coconut
7,17,26,34.89226666,48.75613373,6.414526606,91.63074547,mango
4,18,37,22.91843172,85.40695044,7.13147457,106.2817706,pomegranate
117,43,25,24.68854799,78.51206972,7.839849298,69.31153566,cotton
97,25,50,26.22005978,80.90127035,6.093814669,49.08553937,watermelon
60,36,43,23.43121862,83.06310136,5.286203711,219.9048349,rice
19,72,15,28.83600962,69.76112921,6.890760124,44.08562546,lentil
22,55,20,33.95309131,69.96100028,7.423530351,61.16350463,blackgram
34,62,55,27.58548913,90.72526502,6.585346229,238.5008779,papaya
28,27,34,32.45465292,50.69693751,6.526654345,95.04871605,mango
32,141,203,21.25941052,92.84416234,5.821347769,109.0658471,apple
9,57,24,29.89232778,89.71503316,7.165121109,42.99498978,mungbean
112,87,48,27.19711623,77.3970629,6.200111068,99.46950465,banana
84,44,21,21.869274,61.91044947,5.850439831,107.2681929,maize
22,30,12,15.78144173,92.51077745,6.354006744,119.035002,orange
1,76,17,28.43430726,52.10010827,6.012719118,147.0414824,pigeonpeas
27,69,22,17.91652287,24.90814655,5.932323085,69.14681022,kidneybeans
97,59,43,26.35927159,84.04403589,6.286500176,271.3586137,rice
16,75,21,18.50692825,23.61670065,5.679224346,87.0513289,kidneybeans
28,6,40,22.10621387,91.34039616,6.769855664,106.8704803,pomegranate
20,68,17,30.11873003,60.11680815,6.578714843,71.72980375,blackgram
94,70,48,25.13686519,84.88394407,6.195152442,91.46442491,banana
117,51,15,22.9535715,78.71555832,6.044556594,99.75336197,cotton
34,59,18,23.38002569,21.98879437,5.744117663,87.66898664,kidneybeans
18,79,20,20.27514686,23.2353604,5.877347515,139.7521543,kidneybeans
28,59,22,30.90607799,52.79913039,7.05181629,170.9919828,pigeonpeas
69,66,49,40.00439101,90.17015833,6.52711001,92.11877372,papaya
100,52,19,23.45969093,82.44777468,7.903528673,93.50153555,cotton
27,59,22,21.81167649,23.20591245,5.794158504,130.0608093,kidneybeans
12,8,10,16.14820285,91.4448027,7.995848977,107.4287664,orange
96,54,22,25.70196694,61.33450447,6.960358276,83.20711308,maize
22,37,20,27.62749466,86.49366929,6.605733068,39.26137642,mungbean
36,19,32,27.10710832,50.70880979,4.94295037,92.37238878,mango
6,139,199,25.67385024,81.6212135,6.29099842,74.10919422,grapes
30,17,31,31.20478173,54.49960506,6.804437106,94.62954663,mango
81,34,30,25.17787724,62.26244581,6.647765997,135.0119649,coffee
134,56,18,23.80834611,83.91902605,6.691268104,70.97358303,cotton
90,48,45,24.06475727,71.31342851,6.509174789,153.6390212,jute
